Thrust,Pressure
0.00000346,278.5303919
0.00000332,279.2789182
0.00000387,282.0671038
0.00000434,282.8145959
0.00000509,283.8337362
0.00000706,287.639913
0.0000104,290.6274682
0.0000163,295.1751617
0.0000242,297.2705527
0.0000344,298.817936
