Thurst (Nm),Pressure (Torr)
80.06442755,4.01608E-06
80.12879208,4.97691E-06
81.4992572,8.12583E-06
82.54437743,1.42247E-05
82.6457565,0.000022127
83.10461329,4.21943E-05
83.03488505,6.12451E-05
